name,description,birthDate,nationality
[Tân] - Victor Hugo,Nhà văn nhà thơ người Pháp,1802-02-26T00:00:00.000Z,Pháp
[Tân] - William Shakespeare,Nhà viết kịch nhà thơ người Anh,1564-04-23T00:00:00.000Z,Anh
[Tân] - Leo Tolstoy,Nhà văn người Nga,1828-09-09T00:00:00.000Z,Nga
[Tân] - Mark Twain,Nhà văn,1835-11-30T00:00:00.000Z,Mỹ
[Tân] - Charles Dickens,Nhà văn người Anh,1812-02-07T00:00:00.000Z,Anh
[Tân] - Ernest Hemingway,Nhà văn người Mỹ,1899-07-21T00:00:00.000Z,Mỹ
[Tân] - Jane Austen,Nhà văn người Anh,1775-12-16T00:00:00.000Z,Anh
[Tân] - Franz Kafka,Nhà văn người Séc,1883-07-03T00:00:00.000Z,Séc
[Tân] - Gabriel García Márquez,Nhà văn người Colombia,1927-03-06T00:00:00.000Z,Colombia
[Tân] - J.R.R. Tolkien,Nhà văn,1892-01-03T00:00:00.000Z,Anh
[Tân] - George Orwell,Nhà văn,1903-06-25T00:00:00.000Z,Anh
[Tân] - Fyodor Dostoevsky,Nhà văn người Nga,1821-11-11T00:00:00.000Z,Nga
[Tân] - Agatha Christie,Nữ nhà văn trinh thám người Anh,1890-09-15T00:00:00.000Z,Anh
[Tân] - Edgar Allan Poe,Nhà văn,1809-01-19T00:00:00.000Z,Mỹ
[Tân] - Arthur Conan Doyle,Nhà văn người Scotland,1859-05-22T00:00:00.000Z,Scotland
[Tân] - J.K. Rowling,Nhà văn người Anh,1965-07-31T00:00:00.000Z,Anh
[Tân] - Haruki Murakami,Nhà văn người Nhật Bản,1949-01-12T00:00:00.000Z,Nhật Bản
[Tân] - Miguel de Cervantes,Nhà văn người Tây Ban Nha,1547-09-29T00:00:00.000Z,Tây Ban Nha
[Tân] - Oscar Wilde,Nhà văn,1854-10-16T00:00:00.000Z,Ireland
[Tân] - Emily Dickinson,Nhà thơ người Mỹ,1830-12-10T00:00:00.000Z,Mỹ
